root,Phylum,Class,Order,Family,Genus,Species
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,Genus_SCGC-AAA160-P02
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,TMED14,Genus_TMED14
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,TMED14,Genus_TMED14
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,UA16 sp002336085
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,UA16 sp002336085
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,UA16 sp002336085
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,Genus_UA16
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,UBA10364 sp002387615
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,UBA10364 sp002387615
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
root,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,Genus_UBA10364
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
root,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,Genus_UBA11663
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002684355
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,Genus_UBA3537
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002709185
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA3537,UBA3537 sp002725015
root,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
root,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
root,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
root,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
root,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,UBA4466,Genus_UBA4466
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
root,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,UBA7446,Genus_UBA7446
