Bin,Sample,Year,Watermass
34_bin.11,34,2016,Deep
34_bin.14,34,2016,Deep
34_bin.15,34,2016,Deep
34_bin.16,34,2016,Deep
34_bin.19,34,2016,Deep
34_bin.20,34,2016,Deep
34_bin.21,34,2016,Deep
34_bin.24,34,2016,Deep
34_bin.25,34,2016,Deep
34_bin.27,34,2016,Deep
34_bin.33,34,2016,Deep
34_bin.34,34,2016,Deep
34_bin.36,34,2016,Deep
34_bin.38,34,2016,Deep
34_bin.39,34,2016,Deep
34_bin.4,34,2016,Deep
34_bin.44,34,2016,Deep
34_bin.45,34,2016,Deep
34_bin.46,34,2016,Deep
34_bin.48,34,2016,Deep
34_bin.49,34,2016,Deep
34_bin.5,34,2016,Deep
34_bin.52,34,2016,Deep
35_bin.10,35,2016,Neritic
35_bin.13,35,2016,Neritic
35_bin.21,35,2016,Neritic
35_bin.23,35,2016,Neritic
35_bin.25,35,2016,Neritic
35_bin.26,35,2016,Neritic
35_bin.29,35,2016,Neritic
35_bin.3,35,2016,Neritic
35_bin.30,35,2016,Neritic
35_bin.31,35,2016,Neritic
35_bin.32,35,2016,Neritic
35_bin.33,35,2016,Neritic
35_bin.38,35,2016,Neritic
35_bin.39,35,2016,Neritic
35_bin.45,35,2016,Neritic
35_bin.54,35,2016,Neritic
35_bin.55,35,2016,Neritic
35_bin.59,35,2016,Neritic
35_bin.60,35,2016,Neritic
35_bin.61,35,2016,Neritic
35_bin.62,35,2016,Neritic
35_bin.67,35,2016,Neritic
35_bin.7,35,2016,Neritic
35_bin.71,35,2016,Neritic
35_bin.9,35,2016,Neritic
36_bin.1,36,2016,Neritic
36_bin.11,36,2016,Neritic
36_bin.15,36,2016,Neritic
36_bin.17,36,2016,Neritic
36_bin.18,36,2016,Neritic
36_bin.22,36,2016,Neritic
36_bin.26,36,2016,Neritic
36_bin.34,36,2016,Neritic
36_bin.35,36,2016,Neritic
36_bin.38,36,2016,Neritic
36_bin.39,36,2016,Neritic
36_bin.40,36,2016,Neritic
36_bin.41,36,2016,Neritic
36_bin.46,36,2016,Neritic
36_bin.48,36,2016,Neritic
36_bin.5,36,2016,Neritic
36_bin.50,36,2016,Neritic
36_bin.55,36,2016,Neritic
36_bin.59,36,2016,Neritic
36_bin.63,36,2016,Neritic
36_bin.66,36,2016,Neritic
36_bin.69,36,2016,Neritic
36_bin.7,36,2016,Neritic
36_bin.73,36,2016,Neritic
36_bin.75,36,2016,Neritic
36_bin.79,36,2016,Neritic
36_bin.83,36,2016,Neritic
36_bin.84,36,2016,Neritic
36_bin.86,36,2016,Neritic
36_bin.87,36,2016,Neritic
36_bin.90,36,2016,Neritic
37_bin.11,37,2016,STW
37_bin.13,37,2016,STW
37_bin.14,37,2016,STW
37_bin.19,37,2016,STW
37_bin.23,37,2016,STW
37_bin.24,37,2016,STW
37_bin.30,37,2016,STW
37_bin.31,37,2016,STW
37_bin.33,37,2016,STW
37_bin.35,37,2016,STW
37_bin.38,37,2016,STW
37_bin.39,37,2016,STW
37_bin.41,37,2016,STW
37_bin.42,37,2016,STW
37_bin.43,37,2016,STW
37_bin.44,37,2016,STW
37_bin.47,37,2016,STW
37_bin.48,37,2016,STW
37_bin.5,37,2016,STW
37_bin.51,37,2016,STW
37_bin.6,37,2016,STW
37_bin.61,37,2016,STW
37_bin.66,37,2016,STW
37_bin.7,37,2016,STW
37_bin.70,37,2016,STW
37_bin.71,37,2016,STW
37_bin.9,37,2016,STW
38_bin.10,38,2016,Front
38_bin.14,38,2016,Front
38_bin.15,38,2016,Front
38_bin.23,38,2016,Front
38_bin.28,38,2016,Front
38_bin.32,38,2016,Front
38_bin.33,38,2016,Front
38_bin.34,38,2016,Front
38_bin.37,38,2016,Front
38_bin.4,38,2016,Front
38_bin.42,38,2016,Front
38_bin.44,38,2016,Front
38_bin.45,38,2016,Front
38_bin.48,38,2016,Front
38_bin.52,38,2016,Front
38_bin.58,38,2016,Front
38_bin.60,38,2016,Front
38_bin.68,38,2016,Front
38_bin.70,38,2016,Front
38_bin.9,38,2016,Front
39_bin.10,39,2016,SAW
39_bin.12,39,2016,SAW
39_bin.13,39,2016,SAW
39_bin.15,39,2016,SAW
39_bin.17,39,2016,SAW
39_bin.2,39,2016,SAW
39_bin.22,39,2016,SAW
39_bin.23,39,2016,SAW
39_bin.27,39,2016,SAW
39_bin.3,39,2016,SAW
39_bin.33,39,2016,SAW
39_bin.34,39,2016,SAW
39_bin.36,39,2016,SAW
39_bin.37,39,2016,SAW
39_bin.4,39,2016,SAW
39_bin.43,39,2016,SAW
39_bin.44,39,2016,SAW
39_bin.5,39,2016,SAW
39_bin.6,39,2016,SAW
40_bin.12,40,2016,SAW
40_bin.13,40,2016,SAW
40_bin.15,40,2016,SAW
40_bin.18,40,2016,SAW
40_bin.2,40,2016,SAW
40_bin.21,40,2016,SAW
40_bin.22,40,2016,SAW
40_bin.24,40,2016,SAW
40_bin.25,40,2016,SAW
40_bin.28,40,2016,SAW
40_bin.3,40,2016,SAW
40_bin.33,40,2016,SAW
40_bin.34,40,2016,SAW
40_bin.37,40,2016,SAW
40_bin.38,40,2016,SAW
40_bin.4,40,2016,SAW
40_bin.40,40,2016,SAW
40_bin.41,40,2016,SAW
40_bin.42,40,2016,SAW
40_bin.47,40,2016,SAW
40_bin.49,40,2016,SAW
40_bin.54,40,2016,SAW
40_bin.58,40,2016,SAW
40_bin.6,40,2016,SAW
41_bin.10,41,2016,SAW
41_bin.100,41,2016,SAW
41_bin.102,41,2016,SAW
41_bin.17,41,2016,SAW
41_bin.18,41,2016,SAW
41_bin.2,41,2016,SAW
41_bin.21,41,2016,SAW
41_bin.26,41,2016,SAW
41_bin.27,41,2016,SAW
41_bin.28,41,2016,SAW
41_bin.3,41,2016,SAW
41_bin.35,41,2016,SAW
41_bin.39,41,2016,SAW
41_bin.43,41,2016,SAW
41_bin.52,41,2016,SAW
41_bin.53,41,2016,SAW
41_bin.56,41,2016,SAW
