Sample_ID,Location,Station,Depth,Mean_Date,Mean_Depth,Mean_Temperature,Mean_Salinity,Mean_Oxygen,Mean_Nitrates,NO2,PO4,NO2NO3,SI,OG.Shannon,OG.Richness,OG.Evenness,FC_heterotrophs,FC_autotrophs,FC_bacteria,FC_picoeukaryotes
IOS_52_05M,IOS,52,SUR,17/05/10 3:56,5.5,27.9,34.6,191.7,NA,0,0.12,0,2.67,7.08,14573,0.739,425006,206037,631044,3913
IOS_56_05M,IOS,56,SUR,26/06/10 7:12,5.5,27.3,35,193.1,NA,NA,NA,NA,NA,7.08,13543,0.744,409420,207207,616626,634
IOS_57_05M,IOS,57,SUR,27/06/10 12:07,5.6,27,35.1,190.1,NA,0.02,0,0,2.81,7.15,14117,0.749,NA,NA,NA,NA
IOS_62_05M,IOS,62,SUR,2/07/10 10:17,5.4,25.1,35.3,199.9,-0.2,NA,NA,NA,NA,7.11,13750,0.746,371432,149622,521054,1949
IOS_64_05M,IOS,64,SUR,7/07/10 4:56,5.5,22.2,35.3,210,NA,0,0.08,0,1.77,7.1,13216,0.748,570751,403151,973902,7078
IOS_65_05M,IOS,65,SUR,12/07/10 6:46,5.9,21.8,35.4,207,NA,NA,NA,NA,NA,7.13,13735,0.748,538371,66905,605276,6590
IOS_52_75M,IOS,52,DCM,17/05/10 15:34,79,24.9,34.9,192.6,0.2,0.03,0.18,0.47,3.22,7.11,15564,0.737,393152,153771,546924,3775
IOS_58_66M,IOS,58,DCM,29/06/10 13:12,67.1,25.3,35.2,185,0.8,0.03,0,0.06,2.51,7.12,15238,0.74,659427,233917,893344,2606
IOS_64_65M,IOS,64,DCM,8/07/10 5:19,63.6,22.3,35.3,207.4,-0.1,0,0.08,0.02,1.75,7.16,16260,0.739,480670,197050,677720,7162
IOS_65_30M,IOS,65,DCM,12/07/10 11:25,28.7,21.8,NA,206.4,NA,NA,NA,NA,NA,7.21,18416,0.734,521106,64001,585107,6166
IOS_56_1000M,IOS,56,MES,26/06/10 7:12,989.6,6.2,34.8,88.2,NA,NA,NA,NA,NA,7.37,20380,0.743,29861,0,29861,0
IOS_64_1000M,IOS,64,MES,7/07/10 13:29,990.8,7.7,34.6,193,NA,0,1.12,15.24,5.89,7.18,19651,0.726,39746,0,39746,0
IOS_65_850M,IOS,65,MES,12/07/10 10:31,842.2,8.4,34.7,198,NA,NA,NA,NA,NA,7.21,19527,0.729,43105,0,43105,0
ION_36_05M,ION,36,SUR,12/03/10 6:19,5.5,25.6,36.5,210.9,NA,0.05,0.37,0.13,1.2,7.12,12504,0.754,2216959,231702,2448661,4807
ION_38_05M,ION,38,SUR,15/03/10 3:44,5.5,26.2,36.6,199.9,0.9,0.01,0.32,0.06,1.18,7.14,13741,0.749,1626279,285872,1912151,8040
ION_41_05M,ION,41,SUR,30/03/10 2:56,5.5,29.1,36,187.4,-1.3,0,0.14,0.09,1.47,7.1,16594,0.731,491899,249308,741207,818
ION_42_05M,ION,42,SUR,4/04/10 3:13,5.4,30,34.6,189.3,-1.5,0,0.08,0.03,2.21,7.09,15541,0.735,808564,188746,997310,909
ION_45_05M,ION,45,SUR,13/04/10 3:21,5.5,30.5,35.1,185.2,2.6,0.02,1.94,28.64,15.14,7.06,14553,0.736,393599,305984,699583,818
ION_48_05M,ION,48,SUR,19/04/10 7:54,5.4,29.8,34.2,187.3,-2.2,0.01,0.08,0.06,2.12,7.06,13177,0.744,313030,148147,461176,566
ION_36_17M,ION,36,DCM,12/03/10 10:34,17.4,25.4,36.5,211.6,0.4,0.51,0.51,2.08,1.79,7.13,13952,0.747,NA,NA,NA,NA
ION_38_25M,ION,38,DCM,15/03/10 9:32,25.3,25.5,NA,154.7,1.2,0.7,0.42,1.86,1.63,7.17,14995,0.745,1963051,279788,2242839,11930
ION_39_25M,ION,39,DCM,18/03/10 9:52,25.3,26.8,36.3,193,-0.6,0.02,0.26,0.09,1.28,7.14,14680,0.744,703226,246739,949965,6045
ION_41_60M,ION,41,DCM,30/03/10 8:46,58.2,27.1,36.5,148.3,-0.2,0.07,0.34,0.49,1.38,7.12,16485,0.733,491755,123011,614766,4463
ION_42_80M,ION,42,DCM,4/04/10 9:05,79,27.7,35.1,132.8,0.6,0.15,0.34,1.39,3.2,7.11,15301,0.738,NA,29694,29694,1333
ION_38_340M,ION,38,MES,16/03/10 10:05,337.7,15,36,2.4,22.4,0.69,2.64,23.43,38.94,7.18,16980,0.738,609896,0,609896,0
ION_39_270M,ION,39,MES,20/03/10 9:36,268.2,15.6,35.9,2.3,19.6,2.07,2.64,21.22,38.62,7.22,17308,0.739,972004,0,972004,0
ASW_72_05M,ASW,72,SUR,5/10/10 8:10,5.8,25,36.4,199.1,0.3,0,0.1,0.02,0.87,7.12,17255,0.73,NA,NA,NA,NA
ASW_76_05M,ASW,76,SUR,16/10/10 10:07,5.5,23.3,37.1,206.2,0,0,0.06,0,0.81,7.17,17695,0.733,418710,191229,609939,2215
ASW_78_05M,ASW,78,SUR,4/11/10 10:24,5.6,19.9,36.3,221.5,-0.4,0,0,0.02,0.48,7.12,15863,0.736,447396,213507,660903,5498
ASW_82_05M,ASW,82,SUR,6/12/10 10:25,5.5,7.3,34,305,17.1,0.15,1.3,18.15,1.82,7.21,12924,0.761,10639,0,10639,0
ASW_72_100M,ASW,72,DCM,5/10/10 12:42,95.4,24.1,36.6,194.4,0.2,0.01,0.14,0.04,1.32,7.17,17195,0.735,302791,123447,426238,3263
ASW_82_40M,ASW,82,DCM,6/12/10 16:37,41.8,7,34.1,306.2,17.1,0.14,1.42,19.07,3.08,7.18,12940,0.759,445364,0,445364,7963
ASW_72_800M,ASW,72,MES,6/10/10 9:59,792.7,4.7,34.5,143.2,38.4,0.01,2.62,36.98,34.44,7.29,21508,0.731,NA,NA,NA,NA
ASW_76_800M,ASW,76,MES,17/10/10 11:01,792.8,4.7,34.4,192.2,34.6,0,0.94,12.08,4.39,7.29,21378,0.731,70300,0,70300,0
ASW_78_800M,ASW,78,MES,5/11/10 12:33,792.7,5.9,34.4,214.8,29.8,0,1.95,28.21,13.93,7.17,20751,0.721,220787,0,220787,0
ASE_66_05M,ASE,66,SUR,15/07/10 12:26,5.4,15,35.3,238.9,2.5,0.3,0.34,3.34,2.74,7.13,13082,0.752,564191,32703,596894,15397
ASE_67_05M,ASE,67,SUR,7/09/10 6:35,5.5,12.8,34.8,249.4,0.4,0.17,1.02,7.09,13.88,7.23,14423,0.755,1840174,113647,1953821,46597
ASE_68_05M,ASE,68,SUR,14/09/10 9:14,5.4,16.8,35.7,231.9,NA,0.25,0.23,1.3,2.6,7.18,16906,0.738,439221,192777,631998,18473
ASE_70_05M,ASE,70,SUR,21/09/10 7:05,5.4,19.8,36.4,215.7,0.2,0.05,0.36,0.99,1.36,7.16,16493,0.737,572821,117261,690082,9740
ASE_66_30M,ASE,66,DCM,15/07/10 16:32,28.6,15,35.3,240.4,NA,0.26,0.37,3.23,2.47,7.14,14522,0.745,526353,36479,562832,12356
ASE_68_50M,ASE,68,DCM,14/09/10 9:14,40.3,16.8,35.7,231.7,NA,0.29,0.23,1.08,2.44,7.17,16121,0.741,549370,226449,775819,15436
ASE_68_700M,ASE,68,MES,13/09/10 14:13,722.7,7,34.5,195.2,25.8,0,1.53,22.08,12.08,7.15,17660,0.731,60123,0,60123,0
ASE_70_800M,ASE,70,MES,22/09/10 10:38,791.6,4.2,34.4,161.7,37.8,0.01,2.52,36.73,44.86,7.37,19397,0.747,33173,0,33173,0
ANW_141_05M,ANW,141,SUR,30/12/11 12:56,5.4,27.1,34.3,195.5,-1.7,0,0.01,0,2.93,7.23,16828,0.743,439099,139450,578549,2277
ANW_142_05M,ANW,142,SUR,9/01/12 12:41,5.4,25,36.2,194.3,-2.2,0.02,0,0.05,1.22,7.19,17734,0.735,436017,89629,525647,1597
ANW_145_05M,ANW,145,SUR,2/02/12 12:02,5.5,14.1,35.2,233.9,3.5,0.11,0.35,4.38,2.77,7.16,14527,0.747,374730,22789,397520,7749
ANW_146_05M,ANW,146,SUR,15/02/12 12:59,11.7,19.1,36.5,214.4,0.9,0.22,0.02,0.74,0.94,7.15,15917,0.739,338145,27459,365604,4165
ANW_148_05M,ANW,148,SUR,24/02/12 11:41,6.1,20.4,36.6,212.6,NA,0.09,0,0.15,0.73,7.17,15943,0.741,318391,45701,364093,1911
ANW_149_05M,ANW,149,SUR,1/03/12 11:55,5.5,18.7,36.4,220.2,-1.2,0.25,0.06,0.68,0.8,7.14,15146,0.742,379018,54719,433737,7375
