Sample Domain Phylum Class Order Family Genus Species
54 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
71 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
74 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
8 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
24 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446 UBA7446 sp002862645
35 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446 UBA7446 sp002862645
36 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446 UBA7446 sp002862645
70 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446 UBA7446 sp002862645
8 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA7446  unclassified UBA7446
41 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA8316  unclassified UBA8316
8 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA8316  unclassified UBA8316
35 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA8316  unclassified UBA8316
36 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA8316  unclassified UBA8316
37 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA8316  unclassified UBA8316
41 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA8316  unclassified UBA8316
42 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae UBA8316  unclassified UBA8316
41 Bacteria Bacteroidota Bacteroidia Flavobacteriales Crocinitomicaceae UBA952  unclassified UBA952
42 Bacteria Bacteroidota Bacteroidia Flavobacteriales Crocinitomicaceae UBA952  unclassified UBA952
41 Bacteria Bacteroidota Bacteroidia Flavobacteriales Crocinitomicaceae UBA952  unclassified UBA952
22 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UBA974 UBA974 sp002336655
82 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UBA974 UBA974 sp002336655
78 Bacteria Bacteroidota Bacteroidia Flavobacteriales UA16 UBA974 UBA974 sp002292405
54 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae  unclassified Flavobacteriaceae  unclassified Flavobacteriaceae
82 Bacteria Bacteroidota Bacteroidia Flavobacteriales Flavobacteriaceae  unclassified Flavobacteriaceae  unclassified Flavobacteriaceae
46 Bacteria Binatota Binatia UBA12015 UBA12015 UBA12015 UBA12015 sp003447545
20 Bacteria Chloroflexota Dehalococcoidia UBA1151 Bin127 GCA-002725925  unclassified GCA-002725925
20 Bacteria Chloroflexota Dehalococcoidia UBA1151 UBA1151 GCA-2730555  unclassified GCA-2730555
23 Bacteria Chloroflexota Dehalococcoidia UBA1151 UBA1151 GCA-2730555  unclassified GCA-2730555
3 Bacteria Chloroflexota Dehalococcoidia UBA1151 UBA1151 GCA-2730555  unclassified GCA-2730555
34 Bacteria Chloroflexota Dehalococcoidia UBA1151 UBA1151 GCA-2730555  unclassified GCA-2730555
43 Bacteria Chloroflexota Dehalococcoidia UBA1151 UBA1151 GCA-2730555  unclassified GCA-2730555
