Phylum,Function,Category,n,Completeness
Cyanobacteria,NorB,Nitrogen cycle,0,
Cyanobacteria,NosZ,Nitrogen cycle,0,
Cyanobacteria,PsaA,Phototrophy,36,82.00444444
Cyanobacteria,PsbA,Phototrophy,1,69.29
Cyanobacteria,RHO,Phototrophy,0,
Cyanobacteria,AtpA,Respiration,37,81.84162162
Cyanobacteria,CcoN,Respiration,0,
Cyanobacteria,CoxA,Respiration,27,84.22962963
Cyanobacteria,CydA,Respiration,0,
Cyanobacteria,CyoA,Respiration,0,
Cyanobacteria,NuoF,Respiration,0,
Cyanobacteria,Sdha_FrdA,Respiration,8,75.26875
Cyanobacteria,DsrA,Sulfur cycle,0,
Cyanobacteria,FCC,Sulfur cycle,0,
Cyanobacteria,SoxB,Sulfur cycle,0,
Cyanobacteria,Sqr,Sulfur cycle,0,
Cyanobacteria,CoxL,Trace gas metabolism,0,
Cyanobacteria,NiFe_hydrogenase,Trace gas metabolism,0,
Dadabacteria,ArsC,Alternative e acceptor,0,
Dadabacteria,RdhA,Alternative e acceptor,0,
Dadabacteria,Cyc2,Alternative e donor,0,
Dadabacteria,FdhA,Alternative e donor,0,
Dadabacteria,HbsT,Carbon fixation,0,
Dadabacteria,RbcL,Carbon fixation,0,
Dadabacteria,AmoA,Nitrogen cycle,0,
Dadabacteria,NapA,Nitrogen cycle,0,
Dadabacteria,NarG,Nitrogen cycle,0,
Dadabacteria,NifH,Nitrogen cycle,0,
Dadabacteria,NirK,Nitrogen cycle,0,
Dadabacteria,NorB,Nitrogen cycle,0,
Dadabacteria,NosZ,Nitrogen cycle,0,
Dadabacteria,PsaA,Phototrophy,0,
Dadabacteria,PsbA,Phototrophy,0,
Dadabacteria,RHO,Phototrophy,0,
Dadabacteria,AtpA,Respiration,1,76.4
Dadabacteria,CcoN,Respiration,0,
Dadabacteria,CoxA,Respiration,1,76.4
Dadabacteria,CydA,Respiration,0,
Dadabacteria,CyoA,Respiration,0,
Dadabacteria,NuoF,Respiration,0,
Dadabacteria,Sdha_FrdA,Respiration,1,76.4
Dadabacteria,DsrA,Sulfur cycle,0,
Dadabacteria,FCC,Sulfur cycle,0,
Dadabacteria,SoxB,Sulfur cycle,0,
Dadabacteria,Sqr,Sulfur cycle,0,
Dadabacteria,CoxL,Trace gas metabolism,0,
Dadabacteria,NiFe_hydrogenase,Trace gas metabolism,0,
Fibrobacterota,ArsC,Alternative e acceptor,1,70.69
Fibrobacterota,RdhA,Alternative e acceptor,0,
Fibrobacterota,Cyc2,Alternative e donor,0,
Fibrobacterota,FdhA,Alternative e donor,0,
Fibrobacterota,HbsT,Carbon fixation,0,
Fibrobacterota,RbcL,Carbon fixation,0,
Fibrobacterota,AmoA,Nitrogen cycle,0,
Fibrobacterota,NapA,Nitrogen cycle,0,
Fibrobacterota,NarG,Nitrogen cycle,0,
Fibrobacterota,NifH,Nitrogen cycle,0,
Fibrobacterota,NirK,Nitrogen cycle,0,
Fibrobacterota,NorB,Nitrogen cycle,0,
Fibrobacterota,NosZ,Nitrogen cycle,0,
Fibrobacterota,PsaA,Phototrophy,0,
Fibrobacterota,PsbA,Phototrophy,0,
Fibrobacterota,RHO,Phototrophy,0,
Fibrobacterota,AtpA,Respiration,1,70.69
Fibrobacterota,CcoN,Respiration,0,
Fibrobacterota,CoxA,Respiration,1,70.69
Fibrobacterota,CydA,Respiration,0,
Fibrobacterota,CyoA,Respiration,0,
Fibrobacterota,NuoF,Respiration,0,
Fibrobacterota,Sdha_FrdA,Respiration,1,70.69
Fibrobacterota,DsrA,Sulfur cycle,0,
Fibrobacterota,FCC,Sulfur cycle,0,
Fibrobacterota,SoxB,Sulfur cycle,0,
Fibrobacterota,Sqr,Sulfur cycle,0,
Fibrobacterota,CoxL,Trace gas metabolism,0,
Fibrobacterota,NiFe_hydrogenase,Trace gas metabolism,0,
Gemmatimonadota,ArsC,Alternative e acceptor,0,
Gemmatimonadota,RdhA,Alternative e acceptor,0,
Gemmatimonadota,Cyc2,Alternative e donor,0,
Gemmatimonadota,FdhA,Alternative e donor,0,
Gemmatimonadota,HbsT,Carbon fixation,0,
Gemmatimonadota,RbcL,Carbon fixation,0,
Gemmatimonadota,AmoA,Nitrogen cycle,0,
Gemmatimonadota,NapA,Nitrogen cycle,0,
Gemmatimonadota,NarG,Nitrogen cycle,0,
Gemmatimonadota,NifH,Nitrogen cycle,0,
Gemmatimonadota,NirK,Nitrogen cycle,0,
Gemmatimonadota,NorB,Nitrogen cycle,0,
Gemmatimonadota,NosZ,Nitrogen cycle,0,
Gemmatimonadota,PsaA,Phototrophy,0,
Gemmatimonadota,PsbA,Phototrophy,0,
Gemmatimonadota,RHO,Phototrophy,0,
Gemmatimonadota,AtpA,Respiration,7,79.85714286
Gemmatimonadota,CcoN,Respiration,0,
Gemmatimonadota,CoxA,Respiration,8,83.10375
Gemmatimonadota,CydA,Respiration,4,85.1075
Gemmatimonadota,CyoA,Respiration,0,
Gemmatimonadota,NuoF,Respiration,0,
Gemmatimonadota,Sdha_FrdA,Respiration,9,78.83333333
Gemmatimonadota,DsrA,Sulfur cycle,0,
Gemmatimonadota,FCC,Sulfur cycle,0,
Gemmatimonadota,SoxB,Sulfur cycle,0,
Gemmatimonadota,Sqr,Sulfur cycle,0,
Gemmatimonadota,CoxL,Trace gas metabolism,0,
Gemmatimonadota,NiFe_hydrogenase,Trace gas metabolism,0,
Marinisomatota,ArsC,Alternative e acceptor,0,
Marinisomatota,RdhA,Alternative e acceptor,0,
Marinisomatota,Cyc2,Alternative e donor,0,
Marinisomatota,FdhA,Alternative e donor,0,
Marinisomatota,HbsT,Carbon fixation,0,
Marinisomatota,RbcL,Carbon fixation,0,
Marinisomatota,AmoA,Nitrogen cycle,0,
Marinisomatota,NapA,Nitrogen cycle,0,
Marinisomatota,NarG,Nitrogen cycle,0,
Marinisomatota,NifH,Nitrogen cycle,0,
Marinisomatota,NirK,Nitrogen cycle,0,
Marinisomatota,NorB,Nitrogen cycle,0,
Marinisomatota,NosZ,Nitrogen cycle,0,
Marinisomatota,PsaA,Phototrophy,0,
Marinisomatota,PsbA,Phototrophy,0,
Marinisomatota,RHO,Phototrophy,0,
Marinisomatota,AtpA,Respiration,1,63.24
Marinisomatota,CcoN,Respiration,0,
Marinisomatota,CoxA,Respiration,0,
Marinisomatota,CydA,Respiration,0,
Marinisomatota,CyoA,Respiration,0,
Marinisomatota,NuoF,Respiration,0,
Marinisomatota,Sdha_FrdA,Respiration,0,
Marinisomatota,DsrA,Sulfur cycle,0,
Marinisomatota,FCC,Sulfur cycle,0,
Marinisomatota,SoxB,Sulfur cycle,0,
Marinisomatota,Sqr,Sulfur cycle,0,
Marinisomatota,CoxL,Trace gas metabolism,0,
Marinisomatota,NiFe_hydrogenase,Trace gas metabolism,0,
Myxococcota,ArsC,Alternative e acceptor,1,62.75
Myxococcota,RdhA,Alternative e acceptor,0,
Myxococcota,Cyc2,Alternative e donor,0,
Myxococcota,FdhA,Alternative e donor,0,
Myxococcota,HbsT,Carbon fixation,0,
Myxococcota,RbcL,Carbon fixation,0,
Myxococcota,AmoA,Nitrogen cycle,0,
Myxococcota,NapA,Nitrogen cycle,0,
Myxococcota,NarG,Nitrogen cycle,0,
Myxococcota,NifH,Nitrogen cycle,0,
Myxococcota,NirK,Nitrogen cycle,0,
Myxococcota,NorB,Nitrogen cycle,0,
Myxococcota,NosZ,Nitrogen cycle,0,
Myxococcota,PsaA,Phototrophy,0,
Myxococcota,PsbA,Phototrophy,0,
Myxococcota,RHO,Phototrophy,1,57.76
Myxococcota,AtpA,Respiration,2,58.7
Myxococcota,CcoN,Respiration,0,
Myxococcota,CoxA,Respiration,1,59.64
Myxococcota,CydA,Respiration,0,
Myxococcota,CyoA,Respiration,0,
Myxococcota,NuoF,Respiration,0,
