"","Domain","Phylum","Class","Order","Family","Genus","Species","Watermass"
"27_bin.2","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","UBA10066","MED-G20","Genus_MED-G20","SAW"
"10_bin.12","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","STW"
"35_bin.31","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","Neritic"
"36_bin.39","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","Neritic"
"37_bin.19","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","STW"
"38_bin.34","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","Front"
"39_bin.10","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","SAW"
"41_bin.6","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","SAW"
"54_bin.36","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","SAW"
"68_bin.18","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","SAW"
"7_bin.37","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","STW"
"8_bin.12","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","SAW"
"68_bin.15","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","MS024-2A","Genus_MS024-2A","SAW"
"12_bin.24","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Genus_Polaribacter","Neritic"
"12_bin.34","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","Genus_Polaribacter","Neritic"
