bin_ID,Sample,Watermass,Phylum,cluster
30_bin.36,30,SAW,Proteobacteria,clust3
39_bin.34,39,SAW,Proteobacteria,clust3
27_bin.2,27,SAW,Proteobacteria,clust3
23_bin.63,23,Deep,Proteobacteria,clust3
14_bin.11,14,STW,Proteobacteria,clust3
80_bin.35,80,Deep,Proteobacteria,clust3
33_bin.26,33,SAW,Proteobacteria,clust3
48_bin.44,48,STW,Proteobacteria,clust3
12_bin.34,12,Neritic,Proteobacteria,clust3
38_bin.70,38,Front,Proteobacteria,clust3
53_bin.29,53,SAW,Proteobacteria,clust3
35_bin.32,35,Neritic,Proteobacteria,clust3
80_bin.20,80,Deep,Proteobacteria,clust3
35_bin.61,35,Neritic,Proteobacteria,clust3
38_bin.10,38,Front,Proteobacteria,clust3
79_bin.56,79,SAW,Proteobacteria,clust3
26_bin.32,26,Front,Proteobacteria,clust3
54_bin.36,54,SAW,Proteobacteria,clust3
38_bin.9,38,Front,Proteobacteria,clust3
24_bin.16,24,STW,Proteobacteria,clust3
42_bin.51,42,SAW,Proteobacteria,clust3
21_bin.22,21,STW,Proteobacteria,clust3
46_bin.6,46,SAW,Proteobacteria,clust3
7_bin.34,7,STW,Proteobacteria,clust3
27_bin.24,27,SAW,Proteobacteria,clust3
1_bin.40,1,STW,Proteobacteria,clust3
8_bin.9,8,SAW,Proteobacteria,clust3
1_bin.28,1,STW,Proteobacteria,clust3
78_bin.42,78,STW,Proteobacteria,clust3
2_bin.1,2,SAW,Proteobacteria,clust3
63_bin.1,63,SAW,Proteobacteria,clust3
24_bin.13,24,STW,Proteobacteria,clust3
27_bin.10,27,SAW,Proteobacteria,clust3
67_bin.37,67,STW,Proteobacteria,clust3
38_bin.15,38,Front,Proteobacteria,clust3
54_bin.3,54,SAW,Proteobacteria,clust3
41_bin.56,41,SAW,Proteobacteria,clust3
36_bin.34,36,Neritic,Proteobacteria,clust3
41_bin.86,41,SAW,Proteobacteria,clust3
9_bin.17,9,Deep,SAR324,clust3
43_bin.6,43,Deep,Proteobacteria,clust3
23_bin.47,23,Deep,Proteobacteria,clust3
40_bin.41,40,SAW,Proteobacteria,clust3
83_bin.14,83,Deep,Proteobacteria,clust3
52_bin.21,52,STW,Proteobacteria,clust3
65_bin.38,65,STW,Proteobacteria,clust3
32_bin.6,32,STW,Proteobacteria,clust3
36_bin.63,36,Neritic,Proteobacteria,clust3
6_bin.20,6,SAW,Proteobacteria,clust3
51_bin.52,51,Deep,Proteobacteria,clust3
80_bin.10,80,Deep,Proteobacteria,clust3
7_bin.35,7,STW,Proteobacteria,clust3
68_bin.16,68,SAW,Proteobacteria,clust3
20_bin.14,20,Deep,Proteobacteria,clust3
41_bin.102,41,SAW,Proteobacteria,clust3
36_bin.50,36,Neritic,Proteobacteria,clust3
47_bin.20,47,Deep,Proteobacteria,clust3
74_bin.2,74,SAW,Proteobacteria,clust3
63_bin.15,63,SAW,Proteobacteria,clust3
61_bin.34,61,Deep,Proteobacteria,clust3
53_bin.10,53,SAW,Proteobacteria,clust3
68_bin.13,68,SAW,Proteobacteria,clust3
46_bin.51,46,SAW,Proteobacteria,clust3
54_bin.14,54,SAW,Proteobacteria,clust3
78_bin.45,78,STW,Proteobacteria,clust3
29_bin.34,29,SAW,Proteobacteria,clust3
45_bin.9,45,Front,Proteobacteria,clust3
13_bin.15,13,STW,Proteobacteria,clust3
41_bin.100,41,SAW,Proteobacteria,clust3
64_bin.3,64,Deep,Proteobacteria,clust3
41_bin.69,41,SAW,Proteobacteria,clust3
26_bin.10,26,Front,Proteobacteria,clust3
71_bin.20,71,SAW,Proteobacteria,clust3
76_bin.30,76,STW,Proteobacteria,clust3
68_bin.22,68,SAW,Proteobacteria,clust3
43_bin.18,43,Deep,Proteobacteria,clust3
68_bin.29,68,SAW,Proteobacteria,clust3
72_bin.13,72,Deep,Verrucomicrobiota,clust3
72_bin.11,72,Deep,Proteobacteria,clust3
83_bin.41,83,Deep,Proteobacteria,clust3
25_bin.21,25,STW,Proteobacteria,clust3
61_bin.54,61,Deep,Proteobacteria,clust3
6_bin.3,6,SAW,Proteobacteria,clust3
37_bin.66,37,STW,Proteobacteria,clust3
61_bin.42,61,Deep,Proteobacteria,clust3
39_bin.37,39,SAW,Proteobacteria,clust3
36_bin.26,36,Neritic,Verrucomicrobiota,clust3
34_bin.15,34,Deep,Proteobacteria,clust3
9_bin.33,9,Deep,Verrucomicrobiota,clust3
51_bin.32,51,Deep,Verrucomicrobiota,clust3
65_bin.3,65,STW,Proteobacteria,clust3
23_bin.9,23,Deep,Proteobacteria,clust3
34_bin.10,34,Deep,Proteobacteria,clust3
51_bin.24,51,Deep,Proteobacteria,clust3
67_bin.7,67,STW,Proteobacteria,clust3
35_bin.71,35,Neritic,Verrucomicrobiota,clust3
82_bin.26,82,SAW,Proteobacteria,clust3
80_bin.46,80,Deep,Proteobacteria,clust3
61_bin.57,61,Deep,Proteobacteria,clust3
36_bin.5,36,Neritic,Proteobacteria,clust3
40_bin.58,40,SAW,Proteobacteria,clust3
54_bin.37,54,SAW,Proteobacteria,clust3
22_bin.8,22,SAW,Proteobacteria,clust3
43_bin.10,43,Deep,Verrucomicrobiota,clust3
47_bin.39,47,Deep,Proteobacteria,clust3
79_bin.28,79,SAW,Proteobacteria,clust3
76_bin.36,76,STW,Proteobacteria,clust3
9_bin.44,9,Deep,Proteobacteria,clust3
51_bin.23,51,Deep,Proteobacteria,clust3
43_bin.27,43,Deep,Proteobacteria,clust3
3_bin.18,3,Deep,Proteobacteria,clust3
21_bin.20,21,STW,Proteobacteria,clust3
37_bin.51,37,STW,Proteobacteria,clust3
69_bin.25,69,Deep,Proteobacteria,clust3
71_bin.8,71,SAW,Proteobacteria,clust3
54_bin.29,54,SAW,Proteobacteria,clust3
27_bin.13,27,SAW,Proteobacteria,clust3
36_bin.75,36,Neritic,Proteobacteria,clust3
26_bin.14,26,Front,Proteobacteria,clust3
37_bin.23,37,STW,Proteobacteria,clust3
23_bin.20,23,Deep,Proteobacteria,clust3
12_bin.37,12,Neritic,Proteobacteria,clust3
12_bin.16,12,Neritic,Proteobacteria,clust3
53_bin.14,53,SAW,Proteobacteria,clust3
82_bin.29,82,SAW,Proteobacteria,clust3
8_bin.7,8,SAW,Proteobacteria,clust3
29_bin.7,29,SAW,Proteobacteria,clust3
3_bin.6,3,Deep,Proteobacteria,clust3
44_bin.13,44,STW,Proteobacteria,clust3
47_bin.21,47,Deep,Proteobacteria,clust3
29_bin.18,29,SAW,Verrucomicrobiota,clust3
82_bin.10,82,SAW,Proteobacteria,clust3
28_bin.22,28,SAW,Proteobacteria,clust3
51_bin.53,51,Deep,Proteobacteria,clust3
36_bin.38,36,Neritic,Proteobacteria,clust3
41_bin.60,41,SAW,Proteobacteria,clust3
3_bin.26,3,Deep,Proteobacteria,clust3
6_bin.14,6,SAW,Proteobacteria,clust3
52_bin.35,52,STW,Proteobacteria,clust3
5_bin.15,5,SAW,Proteobacteria,clust3
20_bin.24,20,Deep,Proteobacteria,clust3
10_bin.12,10,STW,Proteobacteria,clust3
50_bin.20,50,SAW,Proteobacteria,clust3
52_bin.3,52,STW,Proteobacteria,clust3
